CO_ANO,CO_MES,CO_MUN,CO_PAIS,KG_LIQUIDO,SG_UF_MUN,SH4,VL_FOB
1997,12,3443303,628,4354,SP,9306,27733
1997,03,3443303,245,8603,SP,9306,62802
1997,06,3443303,628,1617,SP,9306,11410
1997,12,3443303,023,7050,SP,9306,45519
1997,08,3405708,845,2,SP,9306,555
1997,03,3443303,827,15,SP,9306,13
1997,02,3443303,764,1845,SP,9306,16290
1997,08,3443303,063,12234,SP,9306,108589
1997,10,3443303,756,209,SP,9306,1835
1997,02,3443303,249,10898,SP,9306,81883
1997,05,3443303,776,2,SP,9306,10
1997,02,3443303,538,32284,SP,9306,256783
1997,10,3443303,850,5,SP,9306,21
1997,10,3443303,023,24,SP,9306,180
1997,05,3443303,275,8,SP,9306,30
1997,11,3443303,249,16220,SP,9306,112033
1997,11,3443303,845,1420,SP,9306,15538
1997,03,3443303,589,746,SP,9306,10958
1997,09,3443303,169,17162,SP,9306,133300
1997,09,3443303,275,2561,SP,9306,10700
1997,04,3443303,063,24001,SP,9306,202139
1997,03,3443303,586,12921,SP,9306,111220
1997,12,3443303,750,1525,SP,9306,15619
1997,11,3443303,087,183,SP,9306,2484
1997,07,3443303,538,5213,SP,9306,72000
1997,06,3443303,764,2099,SP,9306,17696
1997,06,3443303,023,13407,SP,9306,97649
1997,04,3443303,607,8576,SP,9306,101100
1997,09,3443303,063,10181,SP,9306,91189
1997,02,3443303,845,7551,SP,9306,60105
1997,10,3443303,097,199,SP,9306,3082
1997,10,3443303,538,12,SP,9306,96
1997,05,3443303,756,11825,SP,9306,86972
1997,10,3443303,586,10640,SP,9306,60144
1997,08,3449904,158,1984,SP,9306,76002
1997,12,3443303,169,6921,SP,9306,130200
1997,07,3443303,158,1010,SP,9306,10065
1997,04,3443303,275,5472,SP,9306,44209
1997,04,3443303,750,1071,SP,9306,8051
1997,11,3443303,756,9,SP,9306,84
1997,12,3443303,087,4594,SP,9306,47780
1997,11,3443303,267,691,SP,9306,5756
1997,03,3443303,776,1,SP,9306,5
1997,07,3443303,163,12501,SP,9306,100665
1997,03,3443303,275,2,SP,9306,5
1997,08,3443303,169,5818,SP,9306,42749
1997,07,3443303,845,6213,SP,9306,61537
1997,04,3443303,628,4181,SP,9306,33850
1997,01,3443303,169,3583,SP,9306,71073
